Location,Province,City,Block Code,Serial Number Start From,Serial Number End At
Gov boys College,Balochistan,Quetta,1,1,100
Gov boys College,Balochistan,Quetta,2,101,200
Gov boys College,Balochistan,Quetta,3,201,300
Gov boys College,Balochistan,Quetta,4,301,400
Gov boys College,Balochistan,Quetta,5,401,500
Gov Girls University,Punjab,Lahore,6,1,100
Gov Girls University,Punjab,Lahore,7,101,200
Gov Girls University,Punjab,Lahore,8,201,300
Gov Girls University,Punjab,Lahore,9,301,400
Gov Girls University,Punjab,Lahore,10,401,500
Iqra University,Sindh,Karachi,11,1,100
Iqra University,Sindh,Karachi,12,101,200
Iqra University,Sindh,Karachi,13,201,300
Iqra University,Sindh,Karachi,14,301,400
Iqra University,Sindh,Karachi,15,401,500
GIKI University,Khyber Pakhtunkhwa,Peshawar,16,1,100
GIKI University,Khyber Pakhtunkhwa,Peshawar,17,101,200
GIKI University,Khyber Pakhtunkhwa,Peshawar,18,201,300
GIKI University,Khyber Pakhtunkhwa,Peshawar,19,301,400
GIKI University,Khyber Pakhtunkhwa,Peshawar,20,401,500
NUST University,Islamabad Capital Territory,Islamabad,21,1,100
NUST University,Islamabad Capital Territory,Islamabad,22,101,200
NUST University,Islamabad Capital Territory,Islamabad,23,201,300
NUST University,Islamabad Capital Territory,Islamabad,24,301,400
NUST University,Islamabad Capital Territory,Islamabad,25,401,500
